name,cluster_id
Hashed Browned Potatoes,8333
Egg Salad,4133
Liver Sausage,8872
Carrots vichy,1763
Fruit Jello,6461
New beets,6805
Fruit Cup,382
Lamb Chop,1635
Pies,7422
Orangeade,1524
French Sardines,7327
Jamaica Rum,843
Stuffed Green Pepper,5977
St. Estephe,9070
Antipasto,3161
Antipasti,789
Griddle cakes,1276
"Boiled Onions, Cream Sauce",5409
Lamb Chops (2),1649
Beaujolais,2008
Chateau Yquem,9646
Spring chicken,2887
Fruits in Season,7535
Crullers,6634
Tutti frutti,9611
Consomme en Tasse,8372
"Cauliflower, Polonaise",371
Perrier,5309
Consomme Celestine,1439
English Muffins,3722
Egg Sandwich,1561
Broiled Salt Mackerel,7786
Chiffonade,6997
Coffee Cake,8089
Cacao,3507
Puree of Split Peas,6702
Petits pois,9135
Apple Fritters,8712
Chicken a la King,398
Sparkling Burgundy,8200
Flageolets,1210
Ginger,793
Blackberry Brandy,3414
Cabbage,532
Water Crackers,5543
Seedless Grapes,3498
Schweizer Käse,5621
Coupe St. Jacques,6340
Tea Biscuits,5909
Tee,419
Carrots,7186
Lemon ice cream,7444
Cabinet Pudding,7179
"Potatoes, Fried",7880
Jelly,6052
Roquefort Cheese Dressing,7457
Holland Gin,2593
China Tea,3828
MELBA TOAST,404
Pineapple Cheese,6001
Linden Tea,3371
Broiled Fresh Mackerel,7260
Strained honey,8545
Fresh Mushrooms Saute,1610
Pont l'Eveque,8107
Ham and Egg Sandwich,2789
Stewed Mushrooms,2606
Moet & Chandon,1035
Bread Pudding,1169
Parisienne Potatoes,4480
Cherry Jubilee,4900
Pressed Corned Beef,7633
BREAD,4740
Oyster Cocktail,8828
"Fried Scallops, Tartar Sauce",8861
Chicken Okra,9073
Coca-Cola,1288
Green Onions,8093
Fresh stewed apples,7525
Buffet Russe,4067
Omelette with Ham,565
French pancake,5484
Oyster Sandwich,3665
Chicken Broth,960
Grilled sweet potatoes,8891
"Potatoes, au gratin",9656
"Potatoes, julienne",5453
Consomme in cup,7652
Pound Cake,2901
Fried Parsnips,7631
Poulet de grain,1979
Buttered new beets,7709
Halibut,7182
Force,2086
Wafers,569
Cup Clam Broth,8380
Cream of tomato,9454
Stewed Rhubarb,2483
Consomme Royal,9130
Moka,5299
Baked potatoes,181
OYSTERS ON HALF SHELL,2518
Heart of Celery,6108
Soda Water,4942
Creamed Potatoes,8751
Golden Fizz,7243
Veal Cutlets,8602
Banana,8978
Cream of Wheat,2059
Comice Pear,3731
Fresh Pineapple,7042
Fresh Spinach,6553
Assorted Pastry,7452
with Cream,6083
Curried Lobster,2503
Amontillado Sherry,8729
"coffee, per cup",3874
Raisin Cake,1791
Kippered Herrings,7325
G. H. Mumm's Extra Dry,9438
Fresh Shrimp Salad,6780
Bonbons,5266
Salmon,1971
Bronx Cocktail,4614
Jack Rose,4746
Chicken broth with rice,2430
Corn,7983
Fresh Fruit Salad,9616
Plymouth Gin,871
Boiled Salt Mackerel,8104
Smoked Tongue,3243
Consomme Brunoise,9565
Lalla Rookh,6537
Bouillon en Tasse,7304
Dubonnet Cocktail,1009
Veal Cutlet,2758
Dindonneau,5684
Moet & Chandon White Seal,9459
Roast Prime Ribs of Beef,8746
Ruppert's Knickerbocker,7393
Steamed clams,8493
Vegetables,8309
Sliced bananas with cream,8416
Orange Blossom,1328
Blackberry Pie,6511
Sea bass,1530
Corned Beef Sandwich,6135
Plain spinach,7911
Crepes Suzette,5679
Buttered Toast,825
pineapple sherbet,53
Poires,7675
Stewed Plums,8623
Broiled Sea Trout,8805
Crab flake salad,7163
Wax Beans,997
Caneton,5216
Zwieback,3088
Whole Cold Boiled Lobster,139
Healy's Hors d'Oeuvres,1692
Salade de laitue,8575
Pea Soup,2646
Schlitz,2948
Fernet Branca,857
Ingwer,2288
Tea (Pot),5275
"Cauliflower, Hollandaise",3056
Hot Roast Beef Sandwich,9614
Manhattan clam chowder,4534
Chicken gumbo,138
Stewed Apricots,3540
Dutch Cheese,8331
Beets in Butter,4195
Raspberry Ice,4551
Vegetable,8309
New Cauliflower,937
"Potatoes, Saute",6414
Creme de Cocoa,9679
Roast Chicken (half),137
GREEN APPLE PIE A la Mode,492
Broiled Lobster,6364
Chateaubriand,55
Two Fried Eggs,3452
Kakao,2837
Fried egg sandwich,4778
Omelette au rhum,8958
Grape Fruit Cocktail,7466
Edamer Kase,6142
Tenderloin,5403
Grenadine,1423
Fried Ham Sandwich,7863
Cold Boiled Ham,3053
Rob Roy,1533
Kartoffelsalat,5056
Finnan Haddie au Gratin,7618
Crescents,1977
Spaghetti a l'Italienne,7348
Oysters a la Poulette,2133
Mongole soup,6478
Kraftbruhe,2453
Parsley Potatoes,8730
Rolled Oats,6180
Fried fish,6924
Hors d'Oeuvres,1028
Smoked Sturgeon,3085
COCOANUT CUSTARD PIE,4837
Fried sweet potatoes,9220
Clam Cocktail,1091
Parsley Omelette,4256
Sorbet,7814
Milk Punch,6577
"Sweet Potatoes, Fried",9566
Sardinen,8335
Cream Stew,7843
Steamed hard clams,8493
Curried Shrimps,2510
Orange Pekoe Tea,2251
Small tenderloin steak,7507
Curried Crab Meat with Rice,4978
RELISHES,7858
"Broiled Oysters, Celery Sauce",6043
Melon,8199
Assorted Cold Meats,1085
