id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,cluster_id
155,Oatmeal,,532,610,1,1988,0.0,20.0,7583
1392,Creme de Menthe,,598,610,1890,1987,0.0,15.0,9314
246,Tenderloin Steak,,588,610,1858,1980,0.15,80.0,1436
2575,Roman Punch,,595,608,1856,1965,0.0,40.0,1432
1514,Welsh rarebit,,592,608,1882,1980,0.0,40.0,8360
1506,Ham and eggs,,574,603,1858,1987,0.0,30.0,9014
1303,Iced coffee,,549,602,1894,1988,0.0,25.0,1352
568,Cold Ham,,592,598,1854,1972,0.0,45.0,7468
5057,Shrimp Salad,,577,598,1881,1987,0.0,90.0,1910
2978,Asparagus,,578,596,1854,1985,0.0,35.0,1369
4246,Cafe noir,,591,591,1883,1967,0.0,0.15,6060
286,Scrambled Eggs,,571,586,1853,1987,0.0,28.0,6473
1454,Sauterne,,564,585,1851,1984,0.0,85.0,7761
5433,Grapefruit,,466,583,1,1987,0.0,60.0,627
10064,Baked Apple with Cream,,537,579,1900,1985,0.0,35.0,9591
894,Fried Potatoes,,564,578,1856,1987,0.0,15.0,8854
6403,Pumpkin Pie,,553,576,1865,1980,0.05,25.0,3050
11602,Chicory Salad,,516,571,1891,1971,0.0,60.0,8737
238,Fried Eggs,,550,565,1856,1987,0.0,20.0,172
1309,Gorgonzola,,478,560,1887,1983,0.0,30.0,6981
1434,White Rock,,556,559,1897,1967,0.0,40.0,6807
1616,Peach Pie,,517,558,1854,1980,0.0,15.0,8297
142,Boiled eggs,,540,556,1853,1987,0.0,20.0,2476
837,Salad,,520,551,1854,2001,0.0,75.0,2591
9549,Crab Flake Cocktail,,364,544,1907,1980,0.0,60.0,1900
9742,Artichoke,,477,541,1892,1958,0.0,60.0,31
1623,Edam,,503,534,1884,1969,0.0,30.0,1654
17,Caviar,,505,534,1880,1987,0.0,75.0,383
1294,Clam Chowder,,475,533,1864,1987,0.0,200.0,7407
1373,Maraschino,,519,525,1855,1983,0.0,20.0,7096
904,Buttered toast,,511,525,1856,1969,0.0,15.0,9031
739,Cherrystones,,519,524,1891,2928,0.0,45.0,2618
375648,Vanilla Ice Cream,,437,523,1854,1989,0.0,30.0,5929
5596,Nuts,,516,518,1855,1961,0.1,0.25,3095
6255,French Coffee,,403,517,1881,1973,0.1,15.0,4597
10763,Green olives,,499,517,1900,1973,0.0,0.6,1194
778,Blue Point Oysters,,473,511,1887,1987,0.0,40.0,121
270,Hominy,,421,510,1,1969,0.1,0.35,5593
4130,Neapolitan ice cream,,497,504,1880,1973,0.0,40.0,7201
374141,Stewed Prunes,,406,504,1,2928,0.0,5.0,8305
6197,Plums,,399,503,1889,2012,0.0,100.0,1870
373456,Green Peas,,403,502,1854,1981,0.05,60.0,3213
143,Bacon and eggs,,474,501,1889,1987,0.0,25.0,1000
5408,Figs,,483,499,1854,1969,0.0,20.0,9439
732,Cape Cods,,455,499,1896,1968,0.2,45.0,5966
148,Oyster cocktail,,461,498,1896,1987,0.0,30.0,109
751,Toast,,432,496,1858,1989,0.0,1.05,1145
241,Rolls,,433,496,1881,1989,0.0,2.5,2230
3952,Nesselrode Pudding,,481,496,1892,2928,0.0,50.0,4469
909,Cream toast,,485,494,1865,1961,0.0,30.0,1410
1978,Beets,,480,493,1852,1961,0.0,25.0,6327
1558,New string beans,,483,492,1884,1964,0.0,30.0,9244
148353,Postum,,423,490,1912,1987,0.0,30.0,686
1311,Neufchatel,,431,490,1882,1963,0.1,30.0,7768
2084,Sweet Potatoes,,395,487,1858,1969,0.0,20.0,8673
1125,Ginger Ale,,468,487,1873,1990,0.0,25.0,2340
1624,Gruyere,,427,486,1881,1976,0.0,45.0,1310
185022,Cocktail Sauce,,429,485,1914,2928,0.05,10.0,4865
13,Anchovies,,453,484,1858,1987,0.0,30.0,579
2222,Tongue Sandwich,,467,482,1884,1987,0.0,20.0,1161
2398,COMBINATION SALAD,,455,481,1900,1987,0.0,45.0,7645
106,Orange marmalade,,460,479,1889,1970,0.0,4.5,8056
10801,New Lima Beans,,375,475,1892,1961,0.05,40.0,9508
20,Pickles,,453,472,1852,1987,0.0,10.0,8770
137108,Grapefruit Juice,,402,472,1920,1989,0.0,4.45,8126
1119,Lemonade,,464,472,1885,1998,0.0,12.0,743
151,Stuffed olives,,465,472,1862,1969,0.0,50.0,1148
6250,Beluga Caviar,,335,463,1907,1972,0.0,90.0,1442
915,Tomatoes,,455,461,1858,1987,0.0,15.0,8781
47,SLICED CUCUMBERS,,455,458,1881,1964,0.0,25.0,1526
544,Oyster Stew,,431,455,1882,1982,0.0,50.0,8857
1746,Gherkins,,440,447,1865,1948,0.0,20.0,4789
148693,Liederkranz Cheese,,363,445,1914,1972,0.15,25.0,745
229,Turkey,,434,445,1851,1987,0.0,80.0,644
8070,Orange Water Ice,,429,444,1881,1965,0.0,0.4,855
133200,Fruit Cocktail,,393,444,1914,1983,0.0,40.0,2581
344,Saratoga Chips,,414,443,1881,1969,0.05,0.3,9385
63531,Cherrystone Clams,,410,443,1897,1987,0.0,45.0,790
374672,Little Neck Clams,,364,440,1892,2006,0.0,40.0,1611
375982,Chicken Salad,,408,439,1884,1967,0.0,30.0,8587
235,Lamb,,428,438,1865,1949,0.0,60.0,4306
2480,Cold Slaw,,435,437,1882,1954,0.0,40.0,647
1559,New peas,,407,437,1891,1979,0.0,25.0,6285
2496,Pound cake,,422,435,1881,1980,0.05,15.0,7396
23937,Gorgonzola Cheese,,400,435,1892,1981,0.0,35.0,9582
1104,Tomato,,368,433,1892,1987,0.0,40.0,9655
256,Pork Chops,,408,433,1853,1988,0.0,40.0,9075
7859,Liqueurs,,428,431,1865,1989,0.0,6.5,8085
6128,Creamed Spinach,,384,428,1896,2008,0.0,40.0,8512
790,Celery Salad,,413,426,1882,1973,0.0,60.0,6822
2541,Lemon water ice,,423,426,1881,1974,0.0,25.0,6979
4075,fried Sweet Potatoes,,418,425,1887,1984,0.0,30.0,8570
3901,Waldorf Salad,,403,425,1896,1981,0.0,4.95,1015
374071,Stewed Tomatoes,,412,424,1864,2928,0.05,30.0,8452
725,Lynnhavens,,354,423,1896,2928,0.0,50.0,7029
1859,Squab Chicken,,340,422,1897,1945,0.0,125.0,7343
4512,Almonds,,421,422,1851,1963,0.0,0.25,7358
